Iteracion;Tipo;Tiempo (s)
526;POST;1,6272
527;GET;0,1519
527;POST;1,5032
528;GET;0,1347
528;POST;1,5618
529;GET;0,1439
529;POST;1,5947
530;GET;0,1464
530;POST;1,5327
531;GET;0,1354
531;POST;1,5714
532;GET;0,1437
532;POST;1,6571
533;GET;0,1371
533;POST;1,5877
534;GET;0,1415
534;POST;1,6075
535;GET;0,1347
535;POST;1,5681
536;GET;0,1818
536;POST;1,5957
537;GET;0,1332
537;POST;1,5577
538;GET;0,1549
538;POST;1,5866
539;GET;0,1491
539;POST;1,5394
540;GET;0,1476
540;POST;1,6551
541;GET;0,1379
541;POST;1,5676
542;GET;0,1395
542;POST;1,5558
543;GET;0,1522
543;POST;1,5936
544;GET;0,1466
544;POST;1,5388
545;GET;0,1454
545;POST;1,5662
546;GET;0,1481
546;POST;1,5393
547;GET;0,1382
547;POST;1,5667
548;GET;0,18
548;POST;1,5506
549;GET;0,1555
549;POST;1,5664
550;GET;0,1517
550;POST;1,6237
551;GET;0,1404
551;POST;1,5876
552;GET;0,1473
552;POST;1,5384
553;GET;0,1525
553;POST;1,5332
554;GET;0,1459
554;POST;1,6103
555;GET;0,1381
555;POST;1,6566
556;GET;0,1395
556;POST;1,567
557;GET;0,1485
557;POST;1,6588
558;GET;0,1386
558;POST;1,5585
559;GET;0,1392
559;POST;1,5743
560;GET;0,1407
560;POST;1,5722
561;GET;0,1425
561;POST;1,658
562;GET;0,1434
562;POST;1,6063
563;GET;0,1355
563;POST;1,7058
564;GET;0,1482
564;POST;1,6188
565;GET;0,1373
565;POST;1,613
566;GET;0,1425
566;POST;1,5711
567;GET;0,1413
567;POST;1,5668
568;GET;0,1411
568;POST;1,6487
569;GET;0,1418
569;POST;1,5569
570;GET;0,1436
570;POST;1,5948
571;GET;0,1338
571;POST;1,5885
572;GET;0,1366
572;POST;1,5443
573;GET;0,1343
573;POST;1,6164
574;GET;0,1351
574;POST;1,4891
575;GET;0,1328
575;POST;1,5393
576;GET;0,1348
576;POST;1,5863
577;GET;0,146
577;POST;1,6235
578;GET;0,1438
578;POST;1,6507
579;GET;0,144
579;POST;1,6212
580;GET;0,1429
580;POST;1,6196
581;GET;0,1386
581;POST;2,5763
582;GET;0,1407
582;POST;1,6379
583;GET;0,1364
583;POST;1,5631
584;GET;0,138
584;POST;1,57
585;GET;0,146
585;POST;1,6183
586;GET;0,1431
586;POST;1,6242
587;GET;0,1441
587;POST;1,5895
588;GET;0,1385
588;POST;1,5729
589;GET;0,1425
589;POST;1,5683
590;GET;0,1473
590;POST;1,5898
591;GET;0,1526
591;POST;1,5685
592;GET;0,147
592;POST;1,6087
593;GET;0,1449
593;POST;1,6094
594;GET;0,1386
594;POST;1,5426
595;GET;0,1362
595;POST;1,6212
596;GET;0,1486
596;POST;1,5499
597;GET;0,1355
597;POST;1,5698
598;GET;0,1489
598;POST;1,5354
599;GET;0,1415
599;POST;1,6423
600;GET;0,1494
600;POST;1,532
601;GET;0,1418
601;POST;1,6135
602;GET;0,1436
602;POST;1,5516
603;GET;0,1384
603;POST;1,6058
604;GET;0,1377
604;POST;1,5483
605;GET;0,1406
605;POST;1,5895
606;GET;0,1386
606;POST;1,597
607;GET;0,1429
607;POST;1,5681
608;GET;0,1379
608;POST;1,6061
609;GET;0,14
609;POST;1,603
610;GET;0,1383
610;POST;1,5531
611;GET;0,1358
611;POST;1,5422
612;GET;0,1393
612;POST;1,5889
613;GET;0,1416
613;POST;1,56
614;GET;0,1428
614;POST;1,544
615;GET;0,1402
615;POST;1,5409
616;GET;0,5886
616;POST;1,5561
617;GET;0,1585
617;POST;1,6169
618;GET;0,147
618;POST;1,5941
619;GET;0,1617
619;POST;1,6134
620;GET;0,1478
620;POST;1,5872
621;GET;0,142
621;POST;1,5919
622;GET;0,1691
622;POST;1,5662
623;GET;0,1451
623;POST;1,5492
624;GET;0,1391
624;POST;1,5963
625;GET;0,1365
625;POST;1,5556
626;GET;0,1481
626;POST;1,6232
627;GET;0,1465
627;POST;1,6045
628;GET;0,1361
628;POST;1,5989
629;GET;0,1332
629;POST;1,5933
630;GET;0,1425
630;POST;1,57
631;GET;0,1487
631;POST;1,5663
632;GET;0,1439
632;POST;1,5612
633;GET;0,1498
633;POST;1,6308
634;GET;0,1474
634;POST;1,5577
635;GET;0,1397
635;POST;1,5842
636;GET;0,1375
636;POST;1,6198
637;GET;0,1533
637;POST;1,6626
638;GET;0,149
638;POST;1,5924
639;GET;0,1372
639;POST;1,6264
640;GET;0,1468
640;POST;1,6579
641;GET;0,1541
641;POST;1,6123
642;GET;0,1332
642;POST;1,5582
643;GET;0,1387
643;POST;1,5623
644;GET;0,1387
644;POST;1,5475
645;GET;0,1432
645;POST;1,5835
646;GET;0,1364
646;POST;1,6079
647;GET;0,1447
647;POST;1,6012
648;GET;0,1403
648;POST;1,5967
649;GET;0,1363
649;POST;1,5919
650;GET;0,1395
650;POST;1,5693
651;GET;0,1407
651;POST;1,5546
652;GET;0,1392
652;POST;1,58
653;GET;0,1479
653;POST;1,6023
654;GET;0,1466
654;POST;1,5843
655;GET;0,1335
655;POST;1,5706
656;GET;0,1344
656;POST;1,5986
657;GET;0,1432
657;POST;1,5126
658;GET;0,1372
658;POST;1,5888
659;GET;0,1382
659;POST;1,5125
660;GET;0,1379
660;POST;1,6625
661;GET;0,1456
661;POST;1,6472
662;GET;0,1523
662;POST;1,5716
663;GET;0,1456
